Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-11-15","23:00",119,"104.70",823.5,102.1,3745.4,-102.1
"2025-11-15","23:30",110,"96.78",868.9,183.1,3733,-183.1
"2025-11-16","00:00",109.8,"96.60",777.5,137,3621.8,-137
"2025-11-16","00:30",103.45,"91.02",781.1,172.2,3544.4,-172.2
"2025-11-16","01:00",101.36,"89.18",727.2,75.2,3437.5,-75.2
"2025-11-16","01:30",95.85,"84.33",698.1,52.5,3360.2,-52.5
"2025-11-16","02:00",95,"83.58",682.3,33.7,3436.6,-33.7
"2025-11-16","02:30",93.98,"82.69",726.9,98.4,3516.2,-98.4
"2025-11-16","03:00",94,"82.70",656.5,35.4,3444.6,-35.4
"2025-11-16","03:30",92,"80.94",661.5,49.7,3467.4,-49.7
"2025-11-16","04:00",91,"80.06",625.6,12.7,3398.9,-12.7
"2025-11-16","04:30",89.09,"78.38",649.1,36.9,3359.1,-36.9
"2025-11-16","05:00",85.2,"74.96",640.9,13.5,3233.6,-13.5
"2025-11-16","05:30",85.03,"74.81",639.2,2.6,3194,-2.6
"2025-11-16","06:00",88.81,"78.14",703,45.7,3250,-45.7
"2025-11-16","06:30",91,"80.06",692.2,-40.1,3356,40.1
"2025-11-16","07:00",89.8,"79.01",729.7,-50.9,3491.4,50.9
"2025-11-16","07:30",91.16,"80.20",770.6,-194.6,3652.2,194.6
"2025-11-16","08:00",94.8,"83.41",794.3,-96.1,3622.4,96.1
"2025-11-16","08:30",101,"88.86",850.1,-136.8,3762.7,136.8
"2025-11-16","09:00",112,"98.54",894.6,-118.6,3923.5,118.6
"2025-11-16","09:30",125,"109.98",917.7,-161.1,4057.4,161.1
"2025-11-16","10:00",128,"112.62",933.4,-89.2,4073.9,89.2
"2025-11-16","10:30",130,"114.38",937.8,-164.6,4168.5,164.6
"2025-11-16","11:00",104.99,"92.37",963,-235.1,4328.6,235.1
"2025-11-16","11:30",107.78,"94.83",961.4,-277.9,4380,277.9
"2025-11-16","12:00",106.33,"93.55",968.1,-203.6,4353.7,203.6
"2025-11-16","12:30",108,"95.02",986.1,-311.5,4484.9,311.5
"2025-11-16","13:00",107.98,"95.00",979.3,-203.2,4407.3,203.2
"2025-11-16","13:30",108,"95.02",976.8,-187.4,4388.7,187.4
"2025-11-16","14:00",108,"95.02",953.9,-169.7,4351,169.7
"2025-11-16","14:30",109.97,"96.75",971.9,-222.2,4368.7,222.2
"2025-11-16","15:00",117.07,"103.00",968.3,-199.8,4327.8,199.8
"2025-11-16","15:30",123,"108.22",1012.4,-258.2,4449,258.2
"2025-11-16","16:00",132.53,"116.60",1022.4,-157.7,4481.7,157.7
"2025-11-16","16:30",175,"153.97",1089.9,-252.5,4661.9,252.5
"2025-11-16","17:00",181.8,"159.95",1116.6,-191.8,4823.5,191.8
"2025-11-16","17:30",181,"159.25",1125.5,-161,4828.6,161
"2025-11-16","18:00",181,"159.25",1087.8,-226.9,4862.6,226.9
"2025-11-16","18:30",160.42,"141.14",1045.7,-120.1,4666.2,120.1
"2025-11-16","19:00",155,"136.37",1012.1,-177.9,4595.7,177.9
"2025-11-16","19:30",125.94,"110.80",980.5,-71,4394.2,71
"2025-11-16","20:00",141.17,"124.20",957.1,-127.5,4332.7,127.5
"2025-11-16","20:30",115,"101.18",930.1,-19.4,4180.2,19.4
"2025-11-16","21:00",114.68,"100.90",902.1,-136.8,4189.8,136.8
"2025-11-16","21:30",92.14,"81.07",846.9,-10.1,3970.5,10
"2025-11-16","22:00",85.03,"74.81",821.3,-58.2,3916.6,58.2
"2025-11-16","22:30",81.84,"72.00",888.2,113.7,3738,-113.7
