Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-10-27","23:00",35,"30.54",1107.6,-192.7,3780.9,192.7
"2025-10-27","23:30",26.36,"23.00",1063.5,-88.5,3681.2,88.5
"2025-10-28","00:00",23.59,"20.58",1031.3,-103.4,3604.9,103.4
"2025-10-28","00:30",20.1,"17.54",1016.7,-50.2,3551.2,50.2
"2025-10-28","01:00",11.46,"10.00",979.3,-55.1,3490.8,55.1
"2025-10-28","01:30",10,"8.73",963.4,-13,3451.3,13
"2025-10-28","02:00",9.75,"8.51",920.1,30.7,3468.2,-30.7
"2025-10-28","02:30",9.17,"8.00",962,70.3,3485.9,-70.3
"2025-10-28","03:00",10.96,"9.56",971.4,-54.7,3396.3,54.7
"2025-10-28","03:30",10,"8.73",952.3,27.2,3396.2,-27.2
"2025-10-28","04:00",14.9,"13.00",948.9,49.7,3391.7,-49.7
"2025-10-28","04:30",14.99,"13.08",974.7,26.5,3348.8,-26.5
"2025-10-28","05:00",27.77,"24.23",963,10.7,3328.5,-10.7
"2025-10-28","05:30",33,"28.80",995.3,-26.3,3284.1,26.3
"2025-10-28","06:00",61.88,"54.00",1106.2,123.1,3456.7,-123.1
"2025-10-28","06:30",66.53,"58.05",1072.6,140.6,3441.1,-140.6
"2025-10-28","07:00",84.44,"73.68",1237.2,247.6,3775.1,-247.6
"2025-10-28","07:30",90.73,"79.17",1248.3,199.7,3761.9,-199.7
"2025-10-28","08:00",91.31,"79.68",1346.9,209,3936.6,-209
"2025-10-28","08:30",92.52,"80.73",1319.6,143,3990,-143
"2025-10-28","09:00",83,"72.43",1402.5,197.9,4072.1,-197.9
"2025-10-28","09:30",81.79,"71.37",1377.6,176.1,4147.4,-176.1
"2025-10-28","10:00",73.59,"64.21",1323.4,96,4134.2,-96
"2025-10-28","10:30",70.86,"61.83",1329.9,159.8,4151.8,-159.7
"2025-10-28","11:00",68.41,"59.69",1367,170.1,4138.5,-170.1
"2025-10-28","11:30",67,"58.46",1332,157.9,4073.4,-157.9
"2025-10-28","12:00",67.85,"59.21",1411.9,247,4152.4,-247
"2025-10-28","12:30",68.76,"60.00",1321.4,171,4117.1,-171
"2025-10-28","13:00",70.99,"61.95",1241.3,106.7,4097,-106.7
"2025-10-28","13:30",71.38,"62.29",1158.9,25.1,4065.6,-25.1
"2025-10-28","14:00",79.43,"69.31",1324.3,209,4220.5,-209
"2025-10-28","14:30",81.89,"71.46",1208.7,105.3,4139.4,-105.3
"2025-10-28","15:00",92.01,"80.29",1251.5,163.7,4119.3,-163.7
"2025-10-28","15:30",99,"86.39",1216.9,84.6,4076.5,-84.6
"2025-10-28","16:00",110.14,"96.11",1302.6,186.8,4005,-186.8
"2025-10-28","16:30",137.77,"120.22",1237.2,91.8,4012.7,-91.8
"2025-10-28","17:00",138.44,"120.80",1189.8,30.1,4062.7,-30.1
"2025-10-28","17:30",140.27,"122.40",1181.7,13,4119.6,-13
"2025-10-28","18:00",166,"144.85",1222.1,47.2,4083.5,-47.2
"2025-10-28","18:30",152,"132.64",1332.3,187.3,4093.6,-187.3
"2025-10-28","19:00",130,"113.44",1237.2,90.8,4070.1,-90.8
"2025-10-28","19:30",109.97,"95.96",1295.9,224.5,4030.7,-224.5
"2025-10-28","20:00",102.02,"89.02",1173.9,81.9,3964.7,-81.9
"2025-10-28","20:30",95,"82.90",1162.1,150.1,3909.8,-150.1
"2025-10-28","21:00",95,"82.90",1064.3,62.5,3788.8,-62.5
"2025-10-28","21:30",90.09,"78.61",1062.8,141.7,3702.2,-141.7
"2025-10-28","22:00",77,"67.19",985.5,14.2,3546.2,-14.2
"2025-10-28","22:30",72,"62.83",897.2,68,3427.3,-68
