Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-12-05","23:00",72,"62.82",956,274.8,4324.8,-274.8
"2025-12-05","23:30",70.75,"61.73",961.8,316.3,4207.8,-316.3
"2025-12-06","00:00",71,"61.95",914.7,302.6,4110.2,-302.6
"2025-12-06","00:30",69.85,"60.95",861.5,266.4,3998.9,-266.4
"2025-12-06","01:00",67.75,"59.11",834.2,188.8,3915.5,-188.8
"2025-12-06","01:30",66.89,"58.36",778.1,151,3826.5,-151
"2025-12-06","02:00",62.45,"54.49",765,139.6,3611.2,-139.6
"2025-12-06","02:30",61,"53.22",702.4,85.1,3582.9,-85.1
"2025-12-06","03:00",58.45,"51.00",701.9,95.8,3556.8,-95.8
"2025-12-06","03:30",57.31,"50.00",688.7,98.1,3497.6,-98.1
"2025-12-06","04:00",54.04,"47.15",629.2,33.3,3502.9,-33.3
"2025-12-06","04:30",53.89,"47.02",595.1,7.6,3475.6,-7.6
"2025-12-06","05:00",56.2,"49.04",657.9,-218.3,3601.8,218.3
"2025-12-06","05:30",56.2,"49.04",658.7,-231.8,3643,231.8
"2025-12-06","06:00",66.34,"57.88",653,-27.7,3535.8,27.7
"2025-12-06","06:30",66.34,"57.88",691.8,-187.1,3815.2,187.1
"2025-12-06","07:00",69.83,"60.93",803.4,-284.8,3962.5,284.8
"2025-12-06","07:30",71.77,"62.62",823.9,-329.7,4070.3,329.7
"2025-12-06","08:00",80.81,"70.51",856.5,-314.1,4186.4,314.1
"2025-12-06","08:30",82.81,"72.25",904.1,-336.8,4377.9,336.8
"2025-12-06","09:00",85.85,"74.91",995.7,-561.5,4834.3,561.5
"2025-12-06","09:30",86.04,"75.07",966,-496.4,4892.2,496.4
"2025-12-06","10:00",89.4,"78.00",1002.7,-506.9,4950.6,506.9
"2025-12-06","10:30",88.02,"76.80",981.3,-488.8,4963.4,488.8
"2025-12-06","11:00",87.98,"76.76",1008,-570.5,5055.8,570.5
"2025-12-06","11:30",87.98,"76.76",999.4,-545.1,5093.3,545.1
"2025-12-06","12:00",87.68,"76.50",988.4,-548.5,5216.7,548.5
"2025-12-06","12:30",87.71,"76.53",969.6,-490.8,5231,490.8
"2025-12-06","13:00",88.12,"76.89",961,-387,5159.7,387
"2025-12-06","13:30",87.9,"76.69",927.1,-410,5127.1,410
"2025-12-06","14:00",86.14,"75.16",1005.6,-522.1,5100.9,522.1
"2025-12-06","14:30",86.07,"75.10",1041.2,-561.9,5041.8,561.9
"2025-12-06","15:00",91,"79.40",1111.9,-583,5024.6,583
"2025-12-06","15:30",94.72,"82.65",1006.6,-438.7,4933.6,438.7
"2025-12-06","16:00",100.76,"87.92",1006.2,-264.7,4863.5,264.7
"2025-12-06","16:30",104.87,"91.50",1012.1,-71.8,4842.4,71.8
"2025-12-06","17:00",112.04,"97.76",1040.9,26.5,4872,-26.5
"2025-12-06","17:30",113,"98.60",1039.2,26.8,4930.9,-26.8
"2025-12-06","18:00",109.02,"95.12",1115.8,87.4,4837.2,-87.4
"2025-12-06","18:30",107,"93.36",1150.7,210.9,4774.5,-210.9
"2025-12-06","19:00",104.03,"90.77",1158.3,221.6,4650.7,-221.6
"2025-12-06","19:30",102.03,"89.02",1191.8,315.3,4560.3,-315.3
"2025-12-06","20:00",103,"89.87",1156,291.1,4430.4,-291.1
"2025-12-06","20:30",111.1,"96.94",1130.3,293.3,4301.6,-293.3
"2025-12-06","21:00",114.09,"99.55",1152,337.2,4262.1,-337.2
"2025-12-06","21:30",103.6,"90.39",1206.6,425.4,4188.6,-425.4
"2025-12-06","22:00",93.03,"81.17",1153.5,402.1,4069,-402.1
"2025-12-06","22:30",90,"78.53",1199,483.9,3981.5,-483.9
