Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-12-23","23:00",88.24,"76.98",1016,277.4,4068.4,-277.4
"2025-12-23","23:30",84.02,"73.30",960,261.5,3919.9,-261.5
"2025-12-24","00:00",84,"73.28",938.3,314.1,4011.4,-314.1
"2025-12-24","00:30",82.95,"72.36",906.1,277.5,3927.2,-277.5
"2025-12-24","01:00",82.88,"72.30",974.5,269.7,3777.4,-269.7
"2025-12-24","01:30",81.08,"70.73",992.2,310.8,3671.7,-310.8
"2025-12-24","02:00",78,"68.05",956.6,343.2,3654.5,-343.2
"2025-12-24","02:30",77.48,"67.59",963.2,351,3629.5,-351
"2025-12-24","03:00",76.2,"66.47",1003.1,400.5,3629,-400.5
"2025-12-24","03:30",76.2,"66.47",1026.1,421.6,3551.6,-421.6
"2025-12-24","04:00",76,"66.30",1096.1,525.3,3573.2,-525.3
"2025-12-24","04:30",74.32,"64.83",1061,489.5,3511.7,-489.5
"2025-12-24","05:00",68.66,"59.90",916.2,313.2,3316.6,-313.2
"2025-12-24","05:30",68.66,"59.90",917.1,288.5,3365,-288.5
"2025-12-24","06:00",75.95,"66.26",1009.3,312.1,3350.1,-312.1
"2025-12-24","06:30",76.2,"66.47",953.5,197.3,3439.1,-197.3
"2025-12-24","07:00",85.83,"74.88",892.1,62.2,3633.7,-62.2
"2025-12-24","07:30",88.51,"77.21",918.9,4.6,3784.2,-4.6
"2025-12-24","08:00",92,"80.26",944.4,-27.1,4061.7,27.1
"2025-12-24","08:30",94.02,"82.02",974.3,-16.8,4150.7,16.8
"2025-12-24","09:00",100.51,"87.68",987.5,-1,4284.8,1
"2025-12-24","09:30",101.92,"88.91",1033.1,24.7,4365.8,-24.7
"2025-12-24","10:00",100.43,"87.61",1030.4,-66.8,4417.4,66.8
"2025-12-24","10:30",100.43,"87.61",1026.6,-33.6,4449.8,33.6
"2025-12-24","11:00",99.05,"86.41",1071.6,25.2,4500.7,-25.2
"2025-12-24","11:30",97.89,"85.40",1025.6,-2.2,4451.8,2.2
"2025-12-24","12:00",99.11,"86.46",1038,6,4481.9,-6
"2025-12-24","12:30",100,"87.24",1095.1,58.8,4576.9,-58.8
"2025-12-24","13:00",98.86,"86.24",1075.6,50.5,4585.8,-50.5
"2025-12-24","13:30",97.14,"84.74",1017,-2.9,4458.8,2.9
"2025-12-24","14:00",97.71,"85.24",1009.3,8.1,4415.3,-8.1
"2025-12-24","14:30",98.01,"85.50",1014.9,17.1,4404.2,-17.1
"2025-12-24","15:00",102.02,"89.00",1108.2,99.9,4458.9,-99.9
"2025-12-24","15:30",103.17,"90.00",1097.7,69.7,4486.8,-69.7
"2025-12-24","16:00",110.04,"96.00",1142.8,86.8,4600.7,-86.8
"2025-12-24","16:30",121.8,"106.25",1214.3,130.8,4771.7,-130.8
"2025-12-24","17:00",122,"106.43",1230.3,128,4770.7,-128
"2025-12-24","17:30",112.02,"97.72",1156.4,87.9,4722.4,-87.9
"2025-12-24","18:00",104.36,"91.04",1091.8,61,4560.4,-61
"2025-12-24","18:30",102.36,"89.30",1063.4,59,4486.9,-59
"2025-12-24","19:00",97.02,"84.64",961,-18.3,4461.4,18.3
"2025-12-24","19:30",95.68,"83.47",937.2,-27.2,4407.2,27.2
"2025-12-24","20:00",95,"82.88",966.5,-94,4398.5,94
"2025-12-24","20:30",93.3,"81.39",924.1,-130.7,4296.4,130.7
"2025-12-24","21:00",91.21,"79.57",882.6,-37,4138.7,37
"2025-12-24","21:30",91,"79.39",858,-87.9,4128.6,87.9
"2025-12-24","22:00",86.37,"75.35",879,-137.4,4084.3,137.4
"2025-12-24","22:30",84.87,"74.04",824.7,-76.9,3960.5,76.9
