Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-11-21","23:00",97.32,"85.78",809.3,-202,4247.5,202
"2025-11-21","23:30",95.4,"84.09",775.5,-228.2,4164.3,228.2
"2025-11-22","00:00",95.09,"83.82",741,-321.6,4149.5,321.6
"2025-11-22","00:30",93.4,"82.33",762.8,-283.6,4030.3,283.6
"2025-11-22","01:00",90.74,"79.98",766.7,-315,3987.5,315
"2025-11-22","01:30",90.9,"80.12",748.3,-202.8,3994.7,202.8
"2025-11-22","02:00",89.38,"78.78",728.9,-134.9,4078.1,134.9
"2025-11-22","02:30",88.92,"78.38",720.6,-91,3908,91
"2025-11-22","03:00",88.36,"77.88",717.3,-98.5,3938,98.5
"2025-11-22","03:30",88.23,"77.77",699.5,2.2,3828.5,-2.2
"2025-11-22","04:00",88.58,"78.08",695.6,-74.1,3817.1,74.1
"2025-11-22","04:30",88.36,"77.88",692,-28.3,3700.6,28.3
"2025-11-22","05:00",90.01,"79.34",687.8,-98.7,3757,98.7
"2025-11-22","05:30",90.01,"79.34",695.3,-153.3,3618.7,153.3
"2025-11-22","06:00",95.58,"84.25",725.5,-180.3,3685.8,180.3
"2025-11-22","06:30",98.58,"86.89",762.5,-230,3794.1,230
"2025-11-22","07:00",105.35,"92.86",797.9,-127.7,3890.6,127.7
"2025-11-22","07:30",111.46,"98.25",848.8,-177.5,3986.1,177.5
"2025-11-22","08:00",105.07,"92.61",904.2,-217.6,4103.7,217.7
"2025-11-22","08:30",120,"105.77",957.7,-212.9,4220.1,212.9
"2025-11-22","09:00",131.49,"115.90",1036.7,-171.8,4391.7,171.8
"2025-11-22","09:30",142.36,"125.48",1065.8,-208.3,4491.2,208.3
"2025-11-22","10:00",108.01,"95.20",1098.4,-270.4,4615.1,270.4
"2025-11-22","10:30",115,"101.37",1087.2,-317.4,4705.5,317.4
"2025-11-22","11:00",120,"105.77",1057.9,-224.6,4632.4,224.6
"2025-11-22","11:30",120.7,"106.39",1051.4,-217.9,4637,217.9
"2025-11-22","12:00",135.57,"119.50",1048.9,-291.3,4732.9,291.3
"2025-11-22","12:30",144.28,"127.17",1061.5,-270.5,4684,270.5
"2025-11-22","13:00",131.59,"115.99",1041.2,-230.9,4671.4,230.9
"2025-11-22","13:30",131.39,"115.81",1019.2,-215.4,4589.1,215.4
"2025-11-22","14:00",130.01,"114.60",1014.9,-271.7,4610.7,271.7
"2025-11-22","14:30",132.57,"116.85",1013.3,-273,4663.4,273
"2025-11-22","15:00",135.04,"119.03",1031.4,-226.7,4617,226.7
"2025-11-22","15:30",151.26,"133.33",1037.1,-290.8,4653.4,290.8
"2025-11-22","16:00",157.69,"139.00",1054,-182.3,4693.6,182.3
"2025-11-22","16:30",183.8,"162.01",1089.7,-260.4,4923.9,260.4
"2025-11-22","17:00",197.2,"173.82",1125,-136.7,5048.5,136.7
"2025-11-22","17:30",199.03,"175.43",1136.7,-192.2,5163.2,192.2
"2025-11-22","18:00",195.49,"172.31",1117.1,-260.5,5044.4,260.5
"2025-11-22","18:30",163.36,"143.99",1085.1,-172.2,4831.2,172.2
"2025-11-22","19:00",147.49,"130.00",1009,-246,4751.1,246
"2025-11-22","19:30",116,"102.25",983.6,-165.7,4669.7,165.7
"2025-11-22","20:00",116.31,"102.52",947,-258.6,4596,258.6
"2025-11-22","20:30",107.01,"94.32",925.7,-211.6,4482.8,211.6
"2025-11-22","21:00",103.94,"91.62",891.4,-265.2,4371.6,265.2
"2025-11-22","21:30",99.94,"88.09",856.4,-187.8,4272.4,187.8
"2025-11-22","22:00",99.47,"87.68",826.4,-158.3,4072.2,158.3
"2025-11-22","22:30",95.4,"84.09",795.3,-197.6,4040.6,197.6
