Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-12-10","23:00",62.28,"54.45",1056.1,161.6,4259.1,-161.6
"2025-12-10","23:30",59.03,"51.61",1059.3,149.9,4303.4,-149.9
"2025-12-11","00:00",54.4,"47.56",989.6,108.7,4231,-108.7
"2025-12-11","00:30",51.08,"44.66",1006.5,92.8,4224.2,-92.8
"2025-12-11","01:00",47.07,"41.16",1041,18.1,4156.2,-18.1
"2025-12-11","01:30",44.6,"39.00",1039.1,25.3,4174.9,-25.3
"2025-12-11","02:00",43,"37.60",1057.1,46.4,4221.9,-46.4
"2025-12-11","02:30",41.17,"36.00",1074.2,80.8,4248.5,-80.8
"2025-12-11","03:00",38.89,"34.00",1080.9,77.2,4251.7,-77.2
"2025-12-11","03:30",36.2,"31.65",1083.3,54.5,4235.6,-54.5
"2025-12-11","04:00",37.21,"32.53",1097.7,43.8,4225.3,-43.8
"2025-12-11","04:30",37.09,"32.43",1100.4,51.9,4239.7,-51.9
"2025-12-11","05:00",41,"35.85",1077.5,12.8,4171.9,-12.8
"2025-12-11","05:30",49.74,"43.49",1095.8,-28.4,4136.3,28.4
"2025-12-11","06:00",68.08,"59.53",1131.1,27.2,4384.5,-27.2
"2025-12-11","06:30",78.92,"69.00",1116.7,99.9,4445.1,-99.9
"2025-12-11","07:00",85,"74.32",1231.6,173.8,4654.8,-173.8
"2025-12-11","07:30",89.54,"78.29",1278.2,233.1,4707.2,-233.1
"2025-12-11","08:00",92.75,"81.10",1439.7,300,4771.8,-300
"2025-12-11","08:30",94.93,"83.00",1446.4,294.6,4788.3,-294.6
"2025-12-11","09:00",86.67,"75.78",1430.6,250.5,5075.7,-250.5
"2025-12-11","09:30",89.78,"78.50",1435.2,241.7,5009.5,-241.7
"2025-12-11","10:00",83.15,"72.70",1429.3,249.5,5079.7,-249.5
"2025-12-11","10:30",85.01,"74.33",1428.7,246.7,5063.6,-246.7
"2025-12-11","11:00",93.6,"81.84",1428.8,255.4,5031.3,-255.4
"2025-12-11","11:30",115.56,"101.04",1386.3,234.7,4997.4,-234.7
"2025-12-11","12:00",115,"100.55",1258.3,93.6,5057.7,-93.6
"2025-12-11","12:30",144.95,"126.74",1220.9,80,4983.6,-80
"2025-12-11","13:00",154.48,"135.07",1527.9,398.9,4981.4,-398.9
"2025-12-11","13:30",155.3,"135.79",1461,340.3,4904.8,-340.3
"2025-12-11","14:00",165,"144.27",1543.1,434.5,4949.4,-434.5
"2025-12-11","14:30",166.24,"145.35",1544.6,428.6,4958.3,-428.6
"2025-12-11","15:00",185,"161.76",1524,411.8,4952.8,-411.8
"2025-12-11","15:30",199,"174.00",1514.2,368.2,5024.6,-368.2
"2025-12-11","16:00",201,"175.75",1578.2,405.1,5128.8,-405.1
"2025-12-11","16:30",217.53,"190.20",1542.5,334.5,5274.8,-334.5
"2025-12-11","17:00",237.18,"207.38",1592.4,407.2,5344,-407.2
"2025-12-11","17:30",224.35,"196.16",1562.8,394.4,5359.2,-394.4
"2025-12-11","18:00",199,"174.00",1521.1,326.7,5288.3,-326.7
"2025-12-11","18:30",183.03,"160.03",1496,342.9,5222.3,-342.9
"2025-12-11","19:00",178.01,"155.64",1452.1,334,5128.3,-334
"2025-12-11","19:30",166.46,"145.55",1471.2,390.7,4962.5,-390.7
"2025-12-11","20:00",155.8,"136.22",1351.9,288.9,4909.7,-288.9
"2025-12-11","20:30",114.3,"99.94",1258.2,227.1,4864.2,-227.1
"2025-12-11","21:00",134.73,"117.80",980.5,-21.2,4643.8,21.2
"2025-12-11","21:30",98,"85.69",929,-34.3,4527.9,34.3
"2025-12-11","22:00",91,"79.57",911.2,-81.7,4446.6,81.7
"2025-12-11","22:30",86.46,"75.60",833.9,-37.6,4241.1,37.6
